Image_Container,Payload(gb),Sharing_Points,Num_Updates
Container_3,0.9804862149851417,0.3393350481089835,0.04166666666666663
Container_5,0.8779913709808898,0.3719331064286766,0.33333333333333337
Container_6,0.3166735134316268,0.7116405553101752,0.5833333333333333
Container_8,0.7307643397614226,0.8532827561121359,0.9166666666666666
Container_9,0.2856281963108511,0.5525301601323321,0.7916666666666666
Container_10,0.585711016256241,0.7339239782795084,0.45833333333333337
Container_11,0.5776220588862662,0.011648349744948773,0.41666666666666663
Container_12,0.30251268924867486,0.6861181116682689,0.75
Container_13,0.731776629457234,0.004512111685589822,0.7083333333333333
Container_14,0.6787252268182374,0.023391964803796756,0.5416666666666667
Container_15,0.4375268130231976,0.47884677007283466,0.0
Container_16,0.12056571965588479,0.3532351234551863,0.7083333333333333
Container_17,0.2434127434533811,0.11988706730061403,0.45833333333333337
Container_18,0.8583865993264297,0.5639360163509921,0.08333333333333337
Container_19,0.16258522472046497,0.5775416352724155,0.45833333333333337
Container_20,0.5375486550518928,0.726562567660024,0.16666666666666663
Container_21,0.31170461389598175,0.016957225874059255,0.29166666666666663
Container_22,0.8163342113969955,0.7596629339984584,0.5416666666666667
Container_23,0.6722247845347329,0.0862497510111114,0.7083333333333333
Container_24,0.5171328226521223,0.40533658967497205,0.0
Container_25,0.9505680258221431,0.9726848363601722,0.7083333333333333
Container_26,0.5008533441083098,0.9387790450951354,0.25
Container_27,0.5707292683706432,0.1143443581282964,0.41666666666666663
Container_29,0.23392502569760093,0.26543514597244233,0.20833333333333337
Container_30,0.09776585054188541,0.10557994924956914,0.7083333333333333
Container_31,0.4273448903467133,0.35911559146769206,0.375
Container_32,0.5131271436545614,0.6383728684386015,1.0
Container_33,0.5684219234600915,0.6981908250842231,0.5
Container_35,0.9951687871280996,0.06486701828227978,0.04166666666666663
Container_36,0.6930982242524828,0.14902093238760858,0.04166666666666663
Container_37,0.5959951873496391,0.06840049537963228,0.7916666666666666
Container_38,0.10273744140774875,0.36212943958013977,0.16666666666666663
Container_39,0.8524730417308043,0.7993019650636113,0.6666666666666667
Container_41,0.46406551395602386,0.2760442377475816,0.04166666666666663
Container_42,0.25339150581557207,0.5539071769423298,0.375
Container_43,0.7896203759461047,0.33963816501684463,0.41666666666666663
Container_44,0.20716502222223476,0.5387080291338651,0.41666666666666663
Container_45,0.8812287591031405,0.026864818519577022,0.45833333333333337
Container_46,0.7360419651362963,0.8636233729117411,0.16666666666666663
Container_47,0.312861580661913,0.5078334069474395,0.125
Container_48,0.5937308878807142,0.14152961452189802,0.20833333333333337
Container_49,0.7952101330773584,0.6478127949977049,0.75
Container_50,0.30374614859598487,0.7450353780733889,0.5
Container_52,0.7100143945343006,0.37091116942503055,0.5
Container_53,0.08596772766250764,0.7921917084534975,0.7083333333333333
Container_54,0.9441772247978828,0.6241177132860471,0.33333333333333337
Container_55,0.9113066102948247,0.9943100626152926,0.5
Container_57,0.33216581728568245,0.7523967886928733,0.7916666666666666
Container_59,0.7456925844346498,0.012445114188469433,0.04166666666666663
Container_60,0.8780683382635727,0.8680835216988404,0.875
Container_61,0.02972422970892378,0.7641144223024761,0.29166666666666663
Container_62,0.6496723394565961,0.11966189474048862,0.0
Container_63,0.8907257066188293,0.19727714411909897,0.5416666666666667
Container_64,0.7134170893460199,0.19632449098010687,0.20833333333333337
Container_65,0.6368176582813142,0.44360726441320897,0.16666666666666663
Container_66,0.2889677008429953,0.44990343561363855,0.25
Container_67,0.7979849620653041,0.37216693947188373,0.7083333333333333
Container_68,0.4676536545639337,0.2097222583075684,0.25
Container_71,0.48232966662361526,0.41358136956879454,0.41666666666666663
Container_72,0.3620554781514607,0.8943334459196134,0.5833333333333333
Container_73,0.9623232557445237,0.09096105380758139,0.875
Container_74,0.8939296651510223,0.5054950765153681,0.875
Container_75,0.06011336574789397,0.49827223362519163,0.04166666666666663
Container_76,0.832911365349172,0.35348627746455696,0.625
Container_77,0.8182035669492153,0.3201953804983242,0.25
Container_78,0.17060739320786897,0.6392648981960214,0.0
Container_79,0.3468080854908972,0.568820528809097,1.0
Container_80,0.9788788698486504,0.45742939541167604,0.75
Container_81,0.5782753864729556,0.830410420293244,0.9166666666666666
Container_82,0.21288546248842805,0.4678912589744256,0.5833333333333333
Container_83,0.751459542393626,0.1382905938493249,1.0
Container_84,0.3253226876125858,0.28085080585795075,0.5416666666666667
Container_85,0.1506560759849919,0.40898265305238723,0.25
Container_86,0.43871794806923026,0.014731481722050455,0.04166666666666663
Container_87,0.7132801149470984,0.44607550209150665,0.875
Container_88,0.6076985262595141,0.589952107528558,0.6666666666666667
Container_89,0.14048381365845958,0.22571817055955382,0.16666666666666663
Container_90,0.28163554624067133,0.9769890964518001,0.5
Container_91,0.49082926247020126,0.8568422146587337,0.6666666666666667
Container_92,0.3579689394003545,0.4342712636510865,0.20833333333333337
Container_93,0.6765665181452598,0.557449314522764,0.08333333333333337
Container_94,0.8280955726750228,0.04696579975231018,1.0
Container_95,0.9472534867420529,0.07561467778672694,0.04166666666666663
Container_96,0.46974660296683357,0.5968371915785462,1.0
Container_97,0.4946872411521617,0.6889500896359999,0.9583333333333334
Container_98,0.022929632949663343,0.4290403318697117,0.33333333333333337
Container_100,0.7131089862458974,0.45054431136168777,0.875
Container_101,0.9713003663056159,0.09646912104757203,0.5
Container_102,0.46352786632893284,0.6394554288238198,0.7083333333333333
Container_103,0.42611617133133517,0.4662111252565668,0.5
Container_104,0.7145980854481234,0.09738713225423715,0.7916666666666666
Container_105,0.6241016039195634,0.34226229139061376,0.5416666666666667
Container_107,0.8483851411805174,0.4818086552867919,0.6666666666666667
Container_108,0.63254881719093,0.4111824157551508,0.6666666666666667
Container_109,0.4947179142648856,0.3417859648211177,0.29166666666666663
Container_110,0.0447579309623431,0.59923614539219,0.16666666666666663
Container_111,0.7144879041388142,0.47646513722535444,1.0
Container_112,0.5562260674734046,0.35733153195285233,0.9583333333333334
Container_113,0.057965249663598145,0.49704244502758366,0.20833333333333337
